,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1,268.2486399,14707.2642,2430.11152,1893.61884,67395.7558,366.623161,380.141602,-181.8162708,140.7022255,496.4910981,3.32158497,-7.189304887
2,268.0569948,14706.33777,2430.852993,1893.75987,67398.8402,366.598252,380.057567,-180.1826433,139.4796515,495.2854853,3.3109118,-7.048824719
3,268.0502467,14706.0864,2431.116131,1893.89391,67405.031,366.592024,380.035605,-179.6306268,138.3862742,495.4672818,3.30818124,-7.009779983
4,268.0696664,14706.19694,2431.060093,1893.64571,67389.0706,366.596154,380.049005,-179.7654933,139.6400945,495.3246195,3.31008482,-7.019412201
5,268.3697921,14706.98787,2430.814329,1893.60384,67392.8144,366.610241,380.098594,-180.6106013,139.9802612,495.5843574,3.31571507,-7.091003592
6,267.8946973,14705.46679,2431.574983,1893.5218,67380.5156,366.579591,379.991434,-178.4488988,139.089754,494.7925601,3.30314102,-6.917316397
7,267.8874653,14705.38392,2431.614105,1893.81022,67397.642,366.572747,379.97028,-178.4054655,138.1278691,494.8073892,3.29981838,-6.909306392
8,268.1230152,14706.2029,2431.255225,1893.60032,67388.6167,366.595231,380.045715,-179.4253876,139.6122886,495.2106993,3.30966422,-6.991357326
9,267.9241519,14705.58019,2431.564607,1893.86432,67399.7298,366.580176,379.994765,-178.6202252,138.1560267,494.5834502,3.30323651,-6.917530147
10,267.9277103,14705.51749,2431.581603,1893.86041,67399.4332,366.57183,379.969403,-178.5348185,138.1914603,494.6635352,3.29910576,-6.916192688
11,268.454547,14707.06919,2430.879778,1893.72326,67401.0598,366.608397,380.094267,-180.6853385,139.691751,495.5190805,3.31463432,-7.094765296
12,268.2811211,14706.67757,2431.013242,1893.83158,67404.9884,366.608543,380.088855,-180.2454587,139.095859,495.3919797,3.315845,-7.058147952
13,267.9379745,14705.62211,2431.428995,1893.75076,67393.1739,366.588922,380.018221,-178.9162681,138.74632,494.9868415,3.308145,-6.955493088
14,268.0214114,14705.56213,2431.271105,1893.63142,67389.2919,366.581475,379.997295,-179.2341224,139.3713888,495.331312,3.30397186,-6.999215025
15,267.7904753,14705.03539,2431.727633,1893.93303,67402.2425,366.571792,379.960421,-178.0734024,137.5480446,494.8430964,3.30065083,-6.885346269
16,268.0871199,14705.87557,2431.368429,1893.70326,67392.7289,366.584195,380.009151,-179.1788702,138.9791978,494.8255695,3.30483482,-6.978591585
17,268.1177414,14705.98553,2431.363022,1893.87512,67405.0986,366.58649,380.015255,-179.2772522,138.2691812,495.216648,3.30604196,-6.984078844
18,268.0871918,14705.92209,2431.359645,1893.69857,67394.0377,366.587319,380.017661,-179.2035128,138.8194553,494.9116057,3.30654555,-6.979431119
19,268.0163173,14705.76184,2431.513622,1893.90155,67403.5085,366.59412,380.033236,-178.8886906,138.135215,494.9203532,3.31090827,-6.951500624
20,267.9619353,14705.59302,2431.475276,1893.76016,67395.0515,366.587965,380.015294,-178.8894751,138.7707432,495.0493949,3.30779555,-6.956447931
21,268.0607229,14705.6514,2431.379027,1893.67744,67391.8107,366.576869,379.985082,-179.1237498,139.030593,494.9856625,3.30140214,-6.983126341
