entry,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2
1,-61.25025226,8911.327722,326.7504445,6197.11509,14160583.8,48.2100001,48.678929,-4.25305072,3.27927692,15.50122878,0.10036166,0.715202075
2,-61.20324469,8911.518301,326.7712741,6197.04447,14160570.5,48.2120732,48.6861812,-4.29809996,3.32649621,15.29600668,0.10124753,0.671451212
3,-61.15695984,8911.706212,326.7918106,6196.98122,14160562.5,48.2142364,48.6937583,-4.34246572,3.36574327,15.11192979,0.10217149,0.631564812
4,-61.11127492,8911.891399,326.8120812,6196.92416,14160557.4,48.2164997,48.7016936,-4.38623409,3.39960827,14.95489258,0.10313836,0.596161947
5,-61.20412604,8912.181563,326.8313342,6197.14463,14161133.2,48.2120007,48.6902807,-4.37493082,3.39030677,14.78453236,0.1003368,0.686077912
6,-61.15853682,8912.361749,326.8518313,6197.10444,14161150.2,48.2133706,48.6951462,-4.41809275,3.4081811,14.65117767,0.10091037,0.658133404
7,-61.11359248,8912.539396,326.8720462,6197.08212,14161205.9,48.214827,48.7003301,-4.46074706,3.40969341,14.51337078,0.10151979,0.633520972
8,-61.0693718,8912.714552,326.8919683,6197.09134,14161384.9,48.2163616,48.7058042,-4.50260213,3.3841908,14.36825028,0.10216191,0.611188889
9,-61.02561348,8912.887007,326.9116736,6197.15552,14161958.2,48.2180142,48.711703,-4.54390117,3.29213748,14.21778793,0.10285425,0.591719814
10,-60.98248277,8913.057045,326.9311036,6197.3186,14163820.2,48.2197694,48.7179745,-4.58474936,2.91527832,14.06537467,0.10358966,0.574619375
11,-60.93998244,8913.224595,326.9502556,6197.55457,14167936.7,48.2216018,48.7245323,-4.62571542,-2.79784163,13.94288312,0.10435709,0.559221044
12,-60.89742582,8913.39221,326.9694618,6197.1523,14163188.5,48.223568,48.7315706,-4.66483439,3.14703406,13.78049735,0.10518139,0.54679376
13,-60.85590838,8913.554565,326.988155,6196.91212,14161768.3,48.2255973,48.7388394,-4.70371865,3.47446797,13.62597431,0.10603239,0.534311132
14,-60.81501122,8913.71454,327.0066011,6196.75847,14161330.9,48.2277251,48.7464627,-4.74190329,3.61529536,13.46897942,0.1069253,0.523739658
