,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,Corr_CCSD,Corr_CCSD(T),E(0),E(CCSD),ECCS(T)
1,185.0894222,5998.686351,1137.219766,758.865794,26898.287,173.066479,183.343853,-88.03259202,64.82188548,216.3140616,2.58601939,-3.351830526,-3.481564678,-3.655101132,-922.9434013,-926.424966,-926.5985025
2,184.753685,5997.735873,1137.100606,758.916099,26897.8823,173.052562,183.304552,-87.76814022,64.79899784,217.0049282,2.57777779,-3.352852905,-3.482400592,-3.65552794,-922.9480343,-926.4304349,-926.6035622
3,185.2025894,5997.402017,1137.324615,758.978488,26905.3713,173.024792,183.212945,-87.32453786,63.44396677,216.4417584,2.56493432,-3.343967496,-3.475929933,-3.647907814,-922.9401379,-926.4160679,-926.5880457
4,186.1532711,5997.962093,1137.347999,758.692847,26896.6105,172.970588,183.052365,-87.34672495,64.45505687,215.4370599,2.53559464,-3.350623037,-3.48232075,-3.655761337,-922.9486345,-926.4309552,-926.6043958
5,186.8325816,5998.012469,1137.431094,758.532262,26893.9839,172.904414,182.853576,-87.10932332,64.47416221,214.4526702,2.50018512,-3.355103689,-3.486650723,-3.660949776,-922.946376,-926.4330268,-926.6073258
6,184.8171601,5996.836462,1136.971609,758.936503,26904.008,173.029766,183.240911,-87.57680262,63.96982035,217.4343927,2.56464416,-3.356708441,-3.485410958,-3.659135532,-922.9322159,-926.4176269,-926.5913515
7,185.7402607,5997.636585,1137.268852,758.798709,26899.1377,172.975348,183.071255,-87.37788937,64.34543227,215.9094491,2.53686448,-3.350287164,-3.481312829,-3.654409569,-922.9606546,-926.4419674,-926.6150642
8,184.1788749,5996.746687,1136.681395,758.947016,26900.2741,173.059656,183.350533,-87.98205088,64.56844379,218.3656821,2.57726727,-3.367883217,-3.493050775,-3.668154704,-922.9429967,-926.4360475,-926.6111514
9,184.8858926,5997.508431,1136.778963,758.774259,26898.3178,173.027469,183.256163,-88.09416368,64.67662029,217.4132799,2.55945178,-3.371652166,-3.496602073,-3.672965363,-922.9314674,-926.4280695,-926.6044328
10,185.5559927,5997.908568,1137.297895,758.772082,26895.859,173.004158,183.149853,-87.47205984,64.70584566,215.8946945,2.55387933,-3.353719291,-3.48365944,-3.657303915,-922.9364796,-926.4201391,-926.5937835
11,185.0837808,5997.157715,1137.098594,758.856696,26898.6408,173.009815,183.169412,-87.48291491,64.37700885,216.8840598,2.55562455,-3.357313535,-3.485857617,-3.659761808,-922.9361008,-926.4219584,-926.5958626
12,183.6309302,5996.855468,1137.075768,759.27972,26905.6754,173.120573,183.49405,-87.54811782,63.91870535,218.381293,2.61599417,-3.337879306,-3.468633044,-3.638754366,-922.96043,-926.429063,-926.5991843
