,Shannon,Fisher,GBP,E2,E3,R2,R3,G1,G2,G3,Ig,Corr_MP2,MP2,Corr_CCSD,CCSD,Corr_CCSD(T),CCSD(T),RHF
1,45.09178272,2760.483242,411.2614977,488.333094,42018.0863,62.8135011,68.0932151,-1.77941953,-12.70649014,63.52377371,1.54504813,-1.345492549,-457.6563886,-1.3822189,-457.693115,-1.416750315,-457.7276464,-456.3108961
2,46.09405154,2763.74129,411.8912392,488.245767,42024.5456,62.8439191,68.1459069,-1.82417416,-12.337407,60.10204842,1.5684593,-1.340493669,-457.661389,-1.3778681,-457.6987635,-1.41131682,-457.7322122,-456.3208954
3,45.65591617,2760.789007,411.4265895,488.25759,42030.2541,63.0056665,68.7204978,-1.62181664,-14.11673567,63.46505746,1.63805125,-1.35245359,-457.6335822,-1.3882336,-457.6693622,-1.423408682,-457.7045373,-456.2811286
4,45.37370294,2759.929432,411.2728442,488.187895,42010.5289,62.5599497,67.3143109,-1.35178017,-10.89707172,62.08853125,1.41362461,-1.350548871,-457.655007,-1.3864681,-457.6909262,-1.421649254,-457.7261074,-456.3044582
5,45.94527689,2761.823224,411.6374249,488.247269,42032.197,62.6901215,67.6705448,-1.58277382,-11.51577195,60.96976504,1.49037545,-1.347047943,-457.6565518,-1.3836769,-457.6931807,-1.417967634,-457.7274715,-456.3095038
6,46.40179678,2763.827669,412.0086444,488.222984,42033.2225,62.8944781,68.2920093,-1.64475379,-12.80152994,59.74070365,1.59606997,-1.343842375,-457.6533027,-1.3807402,-457.6902006,-1.414423525,-457.7238839,-456.3094604
7,44.89394456,2758.556213,410.9967625,488.274501,42012.3728,62.7331093,67.8472448,-1.43157201,-12.54175802,64.52872052,1.50028889,-1.352004369,-457.6510156,-1.3877567,-457.6867679,-1.423223751,-457.722235,-456.2990113
8,44.88274852,2758.909714,411.0125699,488.270849,42011.0393,62.7446258,67.8677608,-1.5534409,-12.54967697,64.51372063,1.50977811,-1.351175087,-457.6374776,-1.3874418,-457.6737443,-1.422861002,-457.7091635,-456.2863025
9,45.5819644,2761.252754,411.5048212,488.252084,42018.9492,62.5533493,67.2715336,-1.42602886,-10.44228011,60.8568958,1.41623497,-1.347309194,-457.6551896,-1.3835609,-457.6914413,-1.418117103,-457.7259975,-456.3078804
10,45.45752771,2761.056342,411.5197248,488.219394,42002.7295,62.715839,67.7894755,-1.19479125,-11.67796539,61.19757369,1.50223985,-1.341894903,-457.6330434,-1.3788719,-457.6700204,-1.412849664,-457.7039981,-456.2911485
11,45.01735937,2759.120896,411.2694869,488.265895,41998.0403,62.6120248,67.4531874,-1.00117508,-11.93801201,62.78225796,1.44687152,-1.344627338,-457.6646347,-1.3799324,-457.6999398,-1.414239237,-457.7342466,-456.3200074
12,45.39048448,2760.921446,411.3836469,488.298939,42024.1581,62.5346407,67.2194704,-1.63809952,-10.28220053,61.51466266,1.40795449,-1.347591058,-457.6596268,-1.3837018,-457.6957376,-1.418142063,-457.7301778,-456.3120357
13,45.69138687,2760.423475,411.5618868,488.143081,41998.7385,62.7336368,67.8275457,-0.87827692,-12.32309519,61.32142053,1.51074744,-1.343990875,-457.6546307,-1.3803258,-457.6909656,-1.414426309,-457.7250661,-456.3106398
14,44.99634438,2759.04064,411.0457753,488.244779,42012.3881,62.7166354,67.8026175,-1.50883651,-12.59625932,64.13108274,1.49022838,-1.353420963,-457.6581197,-1.3888053,-457.6935041,-1.424525265,-457.729224,-456.3046988
15,45.5575874,2761.079278,411.4339892,488.258182,42023.9786,62.7190393,67.8161691,-1.63215611,-11.55797404,61.98719714,1.49483587,-1.350273908,-457.6277143,-1.3867076,-457.664148,-1.421821464,-457.6992619,-456.2774404
